射干,甘露消毒丹,治喉痹、咽喉肿痛、咳嗽气喘、产前产后腹痛、狂犬病、慢性声音嘶哑
漏芦,乳一方,治乳房肿胀、月经不调、阴疹、疮疥、腮腺炎、瘰疠
蒲公英,双天膏,治乳痈 热淋 湿热黄疸 胃炎 肝炎 目赤肿痛、盆腔炎、痈肿疔毒、瘰疠结核、化脓性感染、麦粒肿
青黛,咳血方,治咳血咯血、暑热惊痫、温毒发斑、火热疮毒、口舌生疮、耳疳流脓、痄腮、风眼
白头翁,白头翁汤,治热毒血痢、疟疾、休息痢、肺痨、腰痛、瘰疠、百日咳、小儿抽筋
马勃,羌蒡蒲荷汤,治感冒、咳嗽、失音、腮腺炎、扁桃体炎、吐衄
马尾连,清肝退黄汤,治肠炎痢疾、湿热呕吐、小儿伤风、扁桃体炎、痈肿疮疖、口舌生疮
橄榄,消音丸,治咽喉肿痛、咳嗽痰血、肠风下血、扁桃体炎、流脑
板兰根,神犀丹,治腮腺炎、感冒、流脑、大头瘟、痄腮、肝硬化、上呼吸道感染、甲肝
土茯苓,复方消炎丸,治湿热疮毒、梅素、阴道滴虫炎、小儿疳积、杨梅风、筋骨风、盆腔炎
白蔹,滑膜炎散,治黄褐斑、粉刺、白癜风、瘰疠、?耳、烫伤、冻疮、滑囊炎、粘液囊炎
穿心莲,穿黄通瘀汤,治肺炎、胆囊炎、蜂窝组织炎、阑尾炎、扁桃腺炎、咽喉炎、结节性脉管炎
贯众,加减雷击散,治吐血衄血、流感、流脑、麻疹、肝炎、转氨酶增高、涤虫、蛔虫、钩虫病
虎耳草,五草败毒散,治高烧、中暑、外伤流血、中耳炎、荨麻珍、肿胀、虎头蜂螫伤
酸模,酸模汤,治吐血、便血、崩漏、胃溃疡、目赤、咽喉肿痛
仙人掌,,治胃、十二指肠溃疡，乳房肿痛、腮腺炎、疮疖痈肿、肠痔泻血
无花果,仙人草合剂,治风湿麻木、痔疮、痈疽、食欲减退、乳汁不足
酢浆草,挫伤止痛方,治疟疾、痢疾、肠炎、风湿痛、丹毒、烧烫伤、腰带疮、扭伤挫伤
〓草,〓草百部膏,治肺结核、慢性气管炎、大便出血、尿血、目赤、肿痛
一点红,红葛薄荷汤,治白喉、肾炎、红眼、紫癜、痈肿疮疖
八角莲,鬼臼丸,治症瘕、腹痛、瘰疠、痈疽疔疮、淋巴结核、虫咬伤、蜂螫伤、腮腺炎
九里光,附睾炎敷剂,治败血症、梅毒、痔疮、胃肠炎、结膜炎、过敏性皮炎、火眼、鹅掌风、附睾炎
十大功劳,内伤神效汤,治感冒、咳嗽吐血、肠炎痢疾、关节炎、湿疹疮毒、肝炎、扁桃体炎 支气管炎、膀胱炎、腹胀
天葵子,逐瘀消瘤汤,治乳腺炎、子宫肌瘤、淋症、淋巴结核、疔疮、气管炎、一切肿毒、毒蛇咬伤
翻白草,多味翻白草汤,治疖肿、腹胀、痢疾、咳嗽、白带
救必应,救必应散,治胃痛，胃、十二指肠溃疡，肝炎、痧症、跌打肿痛
蟑螂,蟑螂解毒方,治喉蛾、梅毒、臌胀、吐血、对口疮、扁桃体肿大、红丝疔
野烟,,治风湿关节痛、瘰疠、蛇咬伤、无名肿毒
虎杖,肺炎饮,治肝炎、肺炎、支气管炎、风湿痹痛、腿脚转筋、肠梗阻、狂犬病、妇女闭经、便秘、下疳
委陵菜,祛风药酒,治痢疾、白带、便血、风湿瘫痪、骨髓炎、多发性疖肿
金荞麦,治肺痈,肺热咳嗽、瘰疠、肺结核、胸膜炎、骨结核、疳积
地骨皮,泻白散,治血热吐衄、骨节烦热、肺热喘咳、月经先期、消渴、皮肤蒸热
乌韭,乌白解毒汤,治黄疸肝炎、咳嗽、结膜炎、食物、药物、农药中毒、婴幼儿湿疹
忍冬藤,小儿舒筋汤,治肠痈、乳痈、刀伤恶疮、风湿性关节炎、痈疽、小儿髋关节滑膜炎
芙蓉花,芙蓉四黄散,治痈疽肿毒、虚劳咳嗽、经血不止、跌打暗伤、鱼口横痃、脱臼、淋巴结核
蛇含草,蛇含草合剂,治小儿惊风、痔疮、疮毒、伤风咳嗽、乳腺炎、毒蛇咬伤
六月雪,雪斑解毒剂,治肝炎、目赤肿痛、痢疾、偏头风、腰痛、皮肤痛、狂犬病、指头炎
文殊兰,,治乳腺癌、跌伤骨折、腋窝肿大、痈肿、横痃
称星树,,治偏正头痛、头目晕眩、内痔便血、砒霜、野菌中毒
匍伏堇,,治烫伤、鹅口疮、久咳失音、小便不通、疥疮、半夏中毒
西瓜翠衣,清暑益气汤,治暑热尿赤、黄疸、肾炎水肿、小儿夏季热
荷叶,四生饮,治湿温初起、暑湿泻痢、吐血衄血、痧症、肥胖症、小儿痱子、崩中下血
青蒿,青蒿鳖甲汤,治阴虚发热、气机不畅、疟疾、暑热
香薷,新加香薷饮,治暑温初起、霍乱、水肿、脚气、阴部湿痒
藕,消渴方,治热淋、吐血、衄血、产后血瘀、口渴、失眠
绿豆,翘荷汤,治痈疽、丹毒、热毒疔疮、小便小通、暑热烦渴、附子中毒
独活,独活寄生汤,治风寒湿痹、颈项酸痛、头风头痛、惊瘫、痈疽、历节风
威灵仙,,祛风换肌丸、治风寒湿痹、风湿瘫痪、肠风、破伤风、便毒、痰积、角膜炎、脂溢性脱发
秦艽,身痛逐瘀汤,治中风、风寒湿痹、骨蒸劳热、小儿疳积、黄疸、咳嗽、盗汗
木瓜,实脾饮,治风湿、腰膝酸痛、胃肠炎、赤白痢疾、肾炎、心脏病水肿
桑寄生,妇更饮,治风寒湿邪、风湿痹痛、胎动不安、高血压、更年期综合症
五加皮,十精丸,治风寒湿痹、脚气浮肿、皮肤水肿、小儿行迟、小便淋漓、鹤膝风
蚕砂,蚕矢汤,治风湿痹痛、暑湿伤中、霍乱、湿疹、外感头痛、抗链“O”增高
徐长卿,消斑丸2号,治风湿、腰痛、痧症呕吐、经期腹痛、外阴白色病变
海桐皮,万灵丸,治风湿痹痛、跌打损伤、骨折、疥癣、梅毒
海风藤,腰脊痹痛丸,治风湿痹痛、跌打肿痛、风湿关节炎、肥大性腰脊炎、支气管哮喘
络石藤,阿胶鸡子黄汤,治风湿痹痛、关节炎、痈肿疮毒、筋脉挛急
松节,风湿药酒方,风寒湿痹、风湿关节炎、历节风痛、齿风疼痛、稻田皮炎
桑枝,风湿一方,治膝关节炎、骨髓炎、紫癜风、高血压、目痛
臭牡丹,大红袍汤,治跌打损伤、肺痈、咯血、丝虫病、钩虫病、内外痔、结肠炎、头痛、疔疮
豨莶草,首乌延寿丹,治中风瘫痪、皮肤风疹、肝炎、感冒、脑膜炎、发背疔疮
千年健,正膏止痛汤,治风寒湿痹、风气痛、胃痛
虎骨,牛膝煎丸,治风寒湿痹、历节风、骨折、惊悸健忘、荨麻疹
白花蛇,白花蛇散,风湿痹痛、脑风头痛、麻风疥癣、破伤风、面瘫、杨梅疮、大风病
接骨木,接骨丸,治筋骨折伤、关节炎、偏瘫、肾炎
木防己,木防己汤,治风湿关节痛、湿疹、湿疮、小便不利、痰饮、皮肤水肿、淋病、疔疮肿毒
草乌,小活络丹,治风湿痹痛、关节炎、头风头痛、面神经麻痹、破伤风、痈肿疮毒、手术麻醉
枫树,十味祛风酒,治风湿痹痛、关节炎、腰腿痛、偏正头痛、疮毒不收、绝育手术后月经稀少
伸筋草,舒筋活血片,治风寒湿痹、小儿麻痹后遗症、关节痛、水肿、跌打损伤
石南叶,正阳丸,治风湿麻木、脚膝酸软、头风头痛、鼠瘘、妇女神经性偏头痛、小儿跌撞头脑
柳叶,柳叶汤,治关节炎、气管炎、膀胱炎、肝炎、风火牙痛、眉毛脱落
老鹳草,平喘膏,风湿骨痛、腰胀腹痛、肠炎痢疾、支气管哮喘、腰扭伤
透骨草,风湿灵合剂,风湿性关节炎、风气痛、阴囊湿疹、疝气、痤疮、无名肿毒
常春藤,春风药酒,治风湿瘫痪、口眼歪邪、肝炎
穿山龙,截疟汤,治风湿痹痛、跌打损伤、疟疾、热痰咳嗽、痈肿恶疮
矮地茶,荆地麻黄汤,治风湿腰痛、目赤肿痛、肺结核、肝炎、哮喘、皮肤瘙痒
虎刺,寿星蔗须汤,治肝硬化腹水、肝炎、脾虚浮肿、喉痛、感冒头痛、月经不调
龙须藤,九龙健胃汤,治风湿关节痛、偏瘫、小儿疳积，胃、十二指肠溃疡
石南藤,石南八仙汤,治风湿痛、热淋、感冒、牙龈肿痛
南蛇藤,金银通经汤,治风湿痹痛、肠风痔漏、小儿惊风、妇女闭经、发痧腹痛
鸡矢藤,温胃汤,治风湿筋骨痛、骨髓炎、妇女症瘕、白带、疮疡溃烂、偏正头风、孕妇呕血、寸白虫、胃寒腹痛
白牛胆,羊耳活络汤,治风湿骨痛、腰腿痛、胆囊炎、胆结石、风寒咳嗽、妇女崩漏
八角枫,八角杜仲汤,治风湿瘫痪、鹤膝风、脚筋紫胀、大头风、腹胀、食积、经闭
千金藤,千金利水汤,治风湿麻木、关节炎、鹤膝风、脚气肿胀、腮腺炎、皮炎
香加皮,香木壮骨散,风湿关节炎、脚痿行迟、水肿、小便不利
辣椒,治风湿关节炎,伤风感冒、偏头痛、流泪、痢积水泻
